model,gamma,f,aggregator,attack,accuracy
snn_atan12,0.0,0,TrMean,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.0,1,TrMean,Optimal_ALittleIsEnough_neg1,0.76
snn_atan12,0.0,2,TrMean,Optimal_ALittleIsEnough_neg1,0.13
snn_atan12,0.0,3,TrMean,Optimal_ALittleIsEnough_neg1,0.14
snn_atan12,0.0,4,TrMean,Optimal_ALittleIsEnough_neg1,0.13
snn_atan12,0.0,5,TrMean,Optimal_ALittleIsEnough_neg1,0.13
snn_atan12,0.33,0,TrMean,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.33,1,TrMean,Optimal_ALittleIsEnough_neg1,0.96
snn_atan12,0.33,2,TrMean,Optimal_ALittleIsEnough_neg1,0.92
snn_atan12,0.33,3,TrMean,Optimal_ALittleIsEnough_neg1,0.53
snn_atan12,0.33,4,TrMean,Optimal_ALittleIsEnough_neg1,0.14
snn_atan12,0.33,5,TrMean,Optimal_ALittleIsEnough_neg1,0.13
snn_atan12,0.66,0,TrMean,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.66,1,TrMean,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.66,2,TrMean,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.66,3,TrMean,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.66,4,TrMean,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.66,5,TrMean,Optimal_ALittleIsEnough_neg1,0.96
snn_atan12,1.0,0,TrMean,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,1.0,1,TrMean,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,1.0,2,TrMean,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,1.0,3,TrMean,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,1.0,4,TrMean,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,1.0,5,TrMean,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.0,0,TrMean,SignFlipping,0.97
snn_atan12,0.0,1,TrMean,SignFlipping,0.88
snn_atan12,0.0,2,TrMean,SignFlipping,0.76
snn_atan12,0.0,3,TrMean,SignFlipping,0.55
snn_atan12,0.0,4,TrMean,SignFlipping,0.31
snn_atan12,0.0,5,TrMean,SignFlipping,0.13
snn_atan12,0.33,0,TrMean,SignFlipping,0.97
snn_atan12,0.33,1,TrMean,SignFlipping,0.96
snn_atan12,0.33,2,TrMean,SignFlipping,0.87
snn_atan12,0.33,3,TrMean,SignFlipping,0.7
snn_atan12,0.33,4,TrMean,SignFlipping,0.48
snn_atan12,0.33,5,TrMean,SignFlipping,0.13
snn_atan12,0.66,0,TrMean,SignFlipping,0.97
snn_atan12,0.66,1,TrMean,SignFlipping,0.96
snn_atan12,0.66,2,TrMean,SignFlipping,0.95
snn_atan12,0.66,3,TrMean,SignFlipping,0.93
snn_atan12,0.66,4,TrMean,SignFlipping,0.91
snn_atan12,0.66,5,TrMean,SignFlipping,0.13
snn_atan12,1.0,0,TrMean,SignFlipping,0.97
snn_atan12,1.0,1,TrMean,SignFlipping,0.97
snn_atan12,1.0,2,TrMean,SignFlipping,0.96
snn_atan12,1.0,3,TrMean,SignFlipping,0.96
snn_atan12,1.0,4,TrMean,SignFlipping,0.95
snn_atan12,1.0,5,TrMean,SignFlipping,0.95
snn_atan12,0.0,0,TrMean,Optimal_InnerProductManipulation,0.97
snn_atan12,0.0,1,TrMean,Optimal_InnerProductManipulation,0.78
snn_atan12,0.0,2,TrMean,Optimal_InnerProductManipulation,0.62
snn_atan12,0.0,3,TrMean,Optimal_InnerProductManipulation,0.13
snn_atan12,0.0,4,TrMean,Optimal_InnerProductManipulation,0.13
snn_atan12,0.0,5,TrMean,Optimal_InnerProductManipulation,0.13
snn_atan12,0.33,0,TrMean,Optimal_InnerProductManipulation,0.97
snn_atan12,0.33,1,TrMean,Optimal_InnerProductManipulation,0.9
snn_atan12,0.33,2,TrMean,Optimal_InnerProductManipulation,0.78
snn_atan12,0.33,3,TrMean,Optimal_InnerProductManipulation,0.49
snn_atan12,0.33,4,TrMean,Optimal_InnerProductManipulation,0.18
snn_atan12,0.33,5,TrMean,Optimal_InnerProductManipulation,0.13
snn_atan12,0.66,0,TrMean,Optimal_InnerProductManipulation,0.97
snn_atan12,0.66,1,TrMean,Optimal_InnerProductManipulation,0.95
snn_atan12,0.66,2,TrMean,Optimal_InnerProductManipulation,0.94
snn_atan12,0.66,3,TrMean,Optimal_InnerProductManipulation,0.95
snn_atan12,0.66,4,TrMean,Optimal_InnerProductManipulation,0.94
snn_atan12,0.66,5,TrMean,Optimal_InnerProductManipulation,0.13
snn_atan12,1.0,0,TrMean,Optimal_InnerProductManipulation,0.97
snn_atan12,1.0,1,TrMean,Optimal_InnerProductManipulation,0.97
snn_atan12,1.0,2,TrMean,Optimal_InnerProductManipulation,0.96
snn_atan12,1.0,3,TrMean,Optimal_InnerProductManipulation,0.96
snn_atan12,1.0,4,TrMean,Optimal_InnerProductManipulation,0.95
snn_atan12,1.0,5,TrMean,Optimal_InnerProductManipulation,0.95
snn_atan12,0.0,0,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.0,1,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.75
snn_atan12,0.0,2,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.13
snn_atan12,0.0,3,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.13
snn_atan12,0.0,4,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.13
snn_atan12,0.0,5,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.13
snn_atan12,0.33,0,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.33,1,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.33,2,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.84
snn_atan12,0.33,3,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.57
snn_atan12,0.33,4,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.15
snn_atan12,0.33,5,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.13
snn_atan12,0.66,0,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.66,1,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.66,2,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.66,3,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.66,4,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.66,5,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.96
snn_atan12,1.0,0,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,1.0,1,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,1.0,2,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,1.0,3,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,1.0,4,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,1.0,5,GeometricMedian,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.0,0,GeometricMedian,SignFlipping,0.97
snn_atan12,0.0,1,GeometricMedian,SignFlipping,0.89
snn_atan12,0.0,2,GeometricMedian,SignFlipping,0.77
snn_atan12,0.0,3,GeometricMedian,SignFlipping,0.57
snn_atan12,0.0,4,GeometricMedian,SignFlipping,0.25
snn_atan12,0.0,5,GeometricMedian,SignFlipping,0.13
snn_atan12,0.33,0,GeometricMedian,SignFlipping,0.97
snn_atan12,0.33,1,GeometricMedian,SignFlipping,0.96
snn_atan12,0.33,2,GeometricMedian,SignFlipping,0.87
snn_atan12,0.33,3,GeometricMedian,SignFlipping,0.7
snn_atan12,0.33,4,GeometricMedian,SignFlipping,0.48
snn_atan12,0.33,5,GeometricMedian,SignFlipping,0.13
snn_atan12,0.66,0,GeometricMedian,SignFlipping,0.97
snn_atan12,0.66,1,GeometricMedian,SignFlipping,0.96
snn_atan12,0.66,2,GeometricMedian,SignFlipping,0.95
snn_atan12,0.66,3,GeometricMedian,SignFlipping,0.92
snn_atan12,0.66,4,GeometricMedian,SignFlipping,0.9
snn_atan12,0.66,5,GeometricMedian,SignFlipping,0.13
snn_atan12,1.0,0,GeometricMedian,SignFlipping,0.97
snn_atan12,1.0,1,GeometricMedian,SignFlipping,0.97
snn_atan12,1.0,2,GeometricMedian,SignFlipping,0.96
snn_atan12,1.0,3,GeometricMedian,SignFlipping,0.95
snn_atan12,1.0,4,GeometricMedian,SignFlipping,0.95
snn_atan12,1.0,5,GeometricMedian,SignFlipping,0.94
snn_atan12,0.0,0,GeometricMedian,Optimal_InnerProductManipulation,0.97
snn_atan12,0.0,1,GeometricMedian,Optimal_InnerProductManipulation,0.77
snn_atan12,0.0,2,GeometricMedian,Optimal_InnerProductManipulation,0.13
snn_atan12,0.0,3,GeometricMedian,Optimal_InnerProductManipulation,0.13
snn_atan12,0.0,4,GeometricMedian,Optimal_InnerProductManipulation,0.13
snn_atan12,0.0,5,GeometricMedian,Optimal_InnerProductManipulation,0.13
snn_atan12,0.33,0,GeometricMedian,Optimal_InnerProductManipulation,0.97
snn_atan12,0.33,1,GeometricMedian,Optimal_InnerProductManipulation,0.82
snn_atan12,0.33,2,GeometricMedian,Optimal_InnerProductManipulation,0.13
snn_atan12,0.33,3,GeometricMedian,Optimal_InnerProductManipulation,0.13
snn_atan12,0.33,4,GeometricMedian,Optimal_InnerProductManipulation,0.13
snn_atan12,0.33,5,GeometricMedian,Optimal_InnerProductManipulation,0.13
snn_atan12,0.66,0,GeometricMedian,Optimal_InnerProductManipulation,0.97
snn_atan12,0.66,1,GeometricMedian,Optimal_InnerProductManipulation,0.95
snn_atan12,0.66,2,GeometricMedian,Optimal_InnerProductManipulation,0.95
snn_atan12,0.66,3,GeometricMedian,Optimal_InnerProductManipulation,0.94
snn_atan12,0.66,4,GeometricMedian,Optimal_InnerProductManipulation,0.94
snn_atan12,0.66,5,GeometricMedian,Optimal_InnerProductManipulation,0.13
snn_atan12,1.0,0,GeometricMedian,Optimal_InnerProductManipulation,0.97
snn_atan12,1.0,1,GeometricMedian,Optimal_InnerProductManipulation,0.97
snn_atan12,1.0,2,GeometricMedian,Optimal_InnerProductManipulation,0.96
snn_atan12,1.0,3,GeometricMedian,Optimal_InnerProductManipulation,0.96
snn_atan12,1.0,4,GeometricMedian,Optimal_InnerProductManipulation,0.95
snn_atan12,1.0,5,GeometricMedian,Optimal_InnerProductManipulation,0.95
snn_atan12,0.0,0,MultiKrum,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.0,1,MultiKrum,Optimal_ALittleIsEnough_neg1,0.93
snn_atan12,0.0,2,MultiKrum,Optimal_ALittleIsEnough_neg1,0.23
snn_atan12,0.0,3,MultiKrum,Optimal_ALittleIsEnough_neg1,0.13
snn_atan12,0.0,4,MultiKrum,Optimal_ALittleIsEnough_neg1,0.13
snn_atan12,0.0,5,MultiKrum,Optimal_ALittleIsEnough_neg1,0.13
snn_atan12,0.33,0,MultiKrum,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.33,1,MultiKrum,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.33,2,MultiKrum,Optimal_ALittleIsEnough_neg1,0.93
snn_atan12,0.33,3,MultiKrum,Optimal_ALittleIsEnough_neg1,0.78
snn_atan12,0.33,4,MultiKrum,Optimal_ALittleIsEnough_neg1,0.14
snn_atan12,0.33,5,MultiKrum,Optimal_ALittleIsEnough_neg1,0.13
snn_atan12,0.66,0,MultiKrum,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.66,1,MultiKrum,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.66,2,MultiKrum,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.66,3,MultiKrum,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.66,4,MultiKrum,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.66,5,MultiKrum,Optimal_ALittleIsEnough_neg1,0.96
snn_atan12,1.0,0,MultiKrum,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,1.0,1,MultiKrum,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,1.0,2,MultiKrum,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,1.0,3,MultiKrum,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,1.0,4,MultiKrum,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,1.0,5,MultiKrum,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.0,0,MultiKrum,SignFlipping,0.97
snn_atan12,0.0,1,MultiKrum,SignFlipping,0.89
snn_atan12,0.0,2,MultiKrum,SignFlipping,0.78
snn_atan12,0.0,3,MultiKrum,SignFlipping,0.57
snn_atan12,0.0,4,MultiKrum,SignFlipping,0.29
snn_atan12,0.0,5,MultiKrum,SignFlipping,0.13
snn_atan12,0.33,0,MultiKrum,SignFlipping,0.97
snn_atan12,0.33,1,MultiKrum,SignFlipping,0.96
snn_atan12,0.33,2,MultiKrum,SignFlipping,0.89
snn_atan12,0.33,3,MultiKrum,SignFlipping,0.72
snn_atan12,0.33,4,MultiKrum,SignFlipping,0.5
snn_atan12,0.33,5,MultiKrum,SignFlipping,0.13
snn_atan12,0.66,0,MultiKrum,SignFlipping,0.97
snn_atan12,0.66,1,MultiKrum,SignFlipping,0.96
snn_atan12,0.66,2,MultiKrum,SignFlipping,0.95
snn_atan12,0.66,3,MultiKrum,SignFlipping,0.93
snn_atan12,0.66,4,MultiKrum,SignFlipping,0.9
snn_atan12,0.66,5,MultiKrum,SignFlipping,0.13
snn_atan12,1.0,0,MultiKrum,SignFlipping,0.97
snn_atan12,1.0,1,MultiKrum,SignFlipping,0.97
snn_atan12,1.0,2,MultiKrum,SignFlipping,0.96
snn_atan12,1.0,3,MultiKrum,SignFlipping,0.96
snn_atan12,1.0,4,MultiKrum,SignFlipping,0.95
snn_atan12,1.0,5,MultiKrum,SignFlipping,0.95
snn_atan12,0.0,0,MultiKrum,Optimal_InnerProductManipulation,0.97
snn_atan12,0.0,1,MultiKrum,Optimal_InnerProductManipulation,0.79
snn_atan12,0.0,2,MultiKrum,Optimal_InnerProductManipulation,0.13
snn_atan12,0.0,3,MultiKrum,Optimal_InnerProductManipulation,0.13
snn_atan12,0.0,4,MultiKrum,Optimal_InnerProductManipulation,0.13
snn_atan12,0.0,5,MultiKrum,Optimal_InnerProductManipulation,0.13
snn_atan12,0.33,0,MultiKrum,Optimal_InnerProductManipulation,0.97
snn_atan12,0.33,1,MultiKrum,Optimal_InnerProductManipulation,0.87
snn_atan12,0.33,2,MultiKrum,Optimal_InnerProductManipulation,0.13
snn_atan12,0.33,3,MultiKrum,Optimal_InnerProductManipulation,0.13
snn_atan12,0.33,4,MultiKrum,Optimal_InnerProductManipulation,0.13
snn_atan12,0.33,5,MultiKrum,Optimal_InnerProductManipulation,0.13
snn_atan12,0.66,0,MultiKrum,Optimal_InnerProductManipulation,0.97
snn_atan12,0.66,1,MultiKrum,Optimal_InnerProductManipulation,0.95
snn_atan12,0.66,2,MultiKrum,Optimal_InnerProductManipulation,0.94
snn_atan12,0.66,3,MultiKrum,Optimal_InnerProductManipulation,0.94
snn_atan12,0.66,4,MultiKrum,Optimal_InnerProductManipulation,0.13
snn_atan12,0.66,5,MultiKrum,Optimal_InnerProductManipulation,0.13
snn_atan12,1.0,0,MultiKrum,Optimal_InnerProductManipulation,0.97
snn_atan12,1.0,1,MultiKrum,Optimal_InnerProductManipulation,0.97
snn_atan12,1.0,2,MultiKrum,Optimal_InnerProductManipulation,0.96
snn_atan12,1.0,3,MultiKrum,Optimal_InnerProductManipulation,0.96
snn_atan12,1.0,4,MultiKrum,Optimal_InnerProductManipulation,0.95
snn_atan12,1.0,5,MultiKrum,Optimal_InnerProductManipulation,0.94
snn_atan12,0.0,0,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.0,1,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.69
snn_atan12,0.0,2,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.22
snn_atan12,0.0,3,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.13
snn_atan12,0.0,4,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.13
snn_atan12,0.0,5,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.13
snn_atan12,0.33,0,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.33,1,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.33,2,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.96
snn_atan12,0.33,3,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.67
snn_atan12,0.33,4,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.16
snn_atan12,0.33,5,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.13
snn_atan12,0.66,0,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.66,1,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.66,2,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.66,3,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.66,4,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.66,5,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.96
snn_atan12,1.0,0,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,1.0,1,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,1.0,2,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,1.0,3,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,1.0,4,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,1.0,5,CenteredClipping,Optimal_ALittleIsEnough_neg1,0.97
snn_atan12,0.0,0,CenteredClipping,SignFlipping,0.97
snn_atan12,0.0,1,CenteredClipping,SignFlipping,0.88
snn_atan12,0.0,2,CenteredClipping,SignFlipping,0.76
snn_atan12,0.0,3,CenteredClipping,SignFlipping,0.58
snn_atan12,0.0,4,CenteredClipping,SignFlipping,0.34
snn_atan12,0.0,5,CenteredClipping,SignFlipping,0.13
snn_atan12,0.33,0,CenteredClipping,SignFlipping,0.97
snn_atan12,0.33,1,CenteredClipping,SignFlipping,0.96
snn_atan12,0.33,2,CenteredClipping,SignFlipping,0.88
snn_atan12,0.33,3,CenteredClipping,SignFlipping,0.7
snn_atan12,0.33,4,CenteredClipping,SignFlipping,0.51
snn_atan12,0.33,5,CenteredClipping,SignFlipping,0.13
snn_atan12,0.66,0,CenteredClipping,SignFlipping,0.97
snn_atan12,0.66,1,CenteredClipping,SignFlipping,0.96
snn_atan12,0.66,2,CenteredClipping,SignFlipping,0.95
snn_atan12,0.66,3,CenteredClipping,SignFlipping,0.92
snn_atan12,0.66,4,CenteredClipping,SignFlipping,0.89
snn_atan12,0.66,5,CenteredClipping,SignFlipping,0.13
snn_atan12,1.0,0,CenteredClipping,SignFlipping,0.97
snn_atan12,1.0,1,CenteredClipping,SignFlipping,0.97
snn_atan12,1.0,2,CenteredClipping,SignFlipping,0.96
snn_atan12,1.0,3,CenteredClipping,SignFlipping,0.95
snn_atan12,1.0,4,CenteredClipping,SignFlipping,0.95
snn_atan12,1.0,5,CenteredClipping,SignFlipping,0.94
snn_atan12,0.0,0,CenteredClipping,Optimal_InnerProductManipulation,0.97
snn_atan12,0.0,1,CenteredClipping,Optimal_InnerProductManipulation,0.8
snn_atan12,0.0,2,CenteredClipping,Optimal_InnerProductManipulation,0.13
snn_atan12,0.0,3,CenteredClipping,Optimal_InnerProductManipulation,0.13
snn_atan12,0.0,4,CenteredClipping,Optimal_InnerProductManipulation,0.13
snn_atan12,0.0,5,CenteredClipping,Optimal_InnerProductManipulation,0.13
snn_atan12,0.33,0,CenteredClipping,Optimal_InnerProductManipulation,0.97
snn_atan12,0.33,1,CenteredClipping,Optimal_InnerProductManipulation,0.9
snn_atan12,0.33,2,CenteredClipping,Optimal_InnerProductManipulation,0.77
snn_atan12,0.33,3,CenteredClipping,Optimal_InnerProductManipulation,0.22
snn_atan12,0.33,4,CenteredClipping,Optimal_InnerProductManipulation,0.13
snn_atan12,0.33,5,CenteredClipping,Optimal_InnerProductManipulation,0.13
snn_atan12,0.66,0,CenteredClipping,Optimal_InnerProductManipulation,0.97
snn_atan12,0.66,1,CenteredClipping,Optimal_InnerProductManipulation,0.95
snn_atan12,0.66,2,CenteredClipping,Optimal_InnerProductManipulation,0.94
snn_atan12,0.66,3,CenteredClipping,Optimal_InnerProductManipulation,0.94
snn_atan12,0.66,4,CenteredClipping,Optimal_InnerProductManipulation,0.93
snn_atan12,0.66,5,CenteredClipping,Optimal_InnerProductManipulation,0.91
